ch1,ch2
6943,15337
7029,13592
6967,11447
7947,17546
9047,17080
10138,15757
9895,13687
8096,11156
7146,16919
9525,17824
11575,17919
13272,16987
12762,15020
10537,12295
9374,9311
7244,6573
9680,16333
13387,17572
15927,18097
16048,17465
14866,15592
15313,12742
13542,9495
10356,6634
7269,15094
11522,15737
16082,17094
19401,17914
19982,17505
17754,15716
18180,13086
15960,10063
12103,6989
7823,14384
12474,15224
17355,16342
20755,17368
21151,17153
18387,15689
17634,13460
15362,10385
11566,7169
7022,13754
11100,14728
15282,15040
18038,16200
18173,16187
15663,14969
14443,12976
12499,10060
9360,6939
8449,13970
11468,13715
13353,14252
13302,14394
11376,13195
10441,11372
8986,8861
7613,12598
8751,11672
8636,11894
7359,10972
6829,9061
6494,13952
7051,15627
7358,17219
7352,18163
7087,18506
6692,19080
6298,19351
6429,19090
6873,19272
7278,18815
7476,20094
7342,21205
6859,21912
6792,12859
7400,13088
7849,13012
8116,13118
8176,13194
8027,12844
7680,12830
7177,12621
6614,12703
6653,13010
7429,14624
8209,15873
8811,18229
9088,19909
8990,20839
8919,21096
8698,22153
8258,22255
7756,21523
7325,20182
7152,18541
7368,17107
7794,16901
8253,17080
8578,17382
8645,17525
8322,17405
7667,17605
6816,19200
6720,20778
7175,22321
7393,23788
7257,25778
6755,27548
6304,15715
7310,14887
8298,14747
9143,14338
9750,13546
10057,13133
10053,12960
9766,12705
9661,13082
9439,12981
9205,13476
8695,14313
8049,15407
7434,15872
6993,15741
6846,15214
7061,14552
7646,15109
8566,16753
9713,18690
10890,21286
11857,23144
12411,24195
12457,25061
12331,26391
11908,26570
11179,25730
10344,24124
9728,22060
9654,19862
9817,17852
10126,16749
10431,15854
10586,15193
10463,14796
10045,15490
9397,17070
8665,19770
7996,22083
7613,23366
7401,23220
7280,22118
7310,22041
7775,20762
8454,19039
9002,20442
9256,21958
9353,23597
9451,25346
9262,26431
8813,27833
8194,29943
7538,31110
6971,30622
6554,31602
6308,32414
6425,19435
7326,19029
8327,19211
9310,18284
10124,16651
10642,15179
11119,14356
11463,14429
11768,14493
11883,14412
11601,14927
11043,16091
10784,17196
10227,17764
9572,17769
9000,17329
8722,16652
8841,15968
9415,17749
10468,19266
11925,21835
13605,24529
15227,26507
16473,27695
17090,29775
16992,31516
16303,31915
15260,31082
14137,29231
13156,26664
12448,23748
12059,20855
11957,18302
12046,16294
12203,14921
12283,14175
12211,13973
11951,15310
11549,17335
11091,19094
10675,20042
10363,19822
10207,20990
10185,20855
10281,19469
10449,17693
10855,19359
11537,21183
12050,22923
12282,24240
12148,24790
11687,25145
11129,26409
10731,28238
10259,28405
9800,28226
9420,29566
9157,28599
9063,25340
9066,27223
8876,29964
8416,31294
7772,30525
7052,31171
6662,24336
7431,25138
8319,24200
9213,21967
10183,19601
11049,18424
11896,18249
12522,17675
12809,17427
13538,18122
13772,19271
13514,20054
12863,20337
12018,20118
11393,19503
10887,18676
10631,17830
10789,19055
11477,20697
12742,21892
14536,24803
16706,27293
18946,29168
20871,30815
22123,34220
22496,36307
22016,36939
20913,36134
19498,34053
18071,30993
17506,27366
17602,23638
17885,20207
18256,17354
18606,15186
18765,13698
18644,12791
18231,13576
17603,14801
16845,15878
16136,16396
15546,17840
15122,18828
14861,18531
14681,17085
14463,16770
14143,18163
13697,19551
13572,20728
13922,21423
14137,22456
14171,22697
13995,22906
13648,24113
13208,24593
12858,23559
12482,24857
12151,24105
12023,21352
11940,24784
11795,27962
11490,29839
10965,29513
10242,26842
9393,27542
8519,27145
7689,25712
6957,24088
6332,25853
6391,7934
6861,7562
7246,8833
7493,10004
7575,10871
7479,11841
7233,12599
7012,15782
6670,19212
6280,22295
6502,29952
7102,29771
7859,27727
8660,25746
9742,24570
10825,23921
12135,22634
13474,22041
14433,22660
15459,23438
16255,23814
16407,23637
15952,22929
15085,21828
14196,20564
13542,19619
13283,21153
13567,22445
14488,23357
16059,24580
18189,26840
20630,28772
23110,30251
25375,33590
26937,37037
27688,40127
27724,40970
27309,39541
26759,36812
26339,33407
26201,29311
26407,25037
26916,21069
27600,17704
28248,15079
28687,13165
28720,11946
28291,12223
27497,12777
26523,13297
25549,14182
24777,15602
24272,16226
24027,15795
23879,14421
23669,14473
23270,15503
22671,16395
21917,17318
21171,18329
20601,18907
20322,18780
20345,18638
20553,19082
20755,19512
20778,18377
20431,19018
19652,18323
18520,18421
17207,21595
15917,24506
14826,26246
13993,26004
13460,24166
13161,23231
12984,23032
12806,22797
12484,22258
11930,23132
11096,25110
10032,26013
8825,25419
7753,24983
7266,23695
6637,20947
6633,13860
7115,12996
7636,11847
8172,10626
8666,9553
9086,11095
9388,12591
9543,13776
9494,14481
9222,16664
8742,19274
8415,21688
8061,24750
8612,28575
9181,31339
9785,33049
10460,33037
11280,31421
12343,30454
13772,29782
15574,28182
17682,27073
19978,26553
22136,27062
23795,27202
24631,26764
24462,25699
23434,24129
21876,22330
20245,22868
18962,23814
18330,24543
18554,24918
19724,24948
21847,25904
24756,27261
28129,28421
31467,30436
34238,35599
36016,40838
36690,44315
36418,45487
35580,44203
34586,40732
33805,36095
33457,31648
33615,26376
34233,21225
35126,16933
36054,14251
36734,12363
36968,11620
36658,11435
35845,11564
34780,11756
33706,12878
32874,13790
32364,14112
32145,13722
32040,12422
31861,10953
31427,11885
30676,12758
29758,13539
28868,14107
28270,14311
28070,13988
28281,13837
28765,13845
29328,14053
29589,13153
29345,13229
28500,13229
27130,15385
25463,17775
23785,19909
22376,21097
21403,20722
20870,20559
20683,19905
20731,20229
20785,19418
20616,18764
20038,19253
18962,20836
17438,22131
15628,23328
13730,23345
11910,21960
10292,19360
9290,16144
8271,14572
7125,14801
6548,24438
6930,21968
7180,19920
7314,18071
7347,16187
7613,16299
7865,17393
8103,17978
8385,17924
8720,17257
9108,16106
9520,15095
9907,13841
10228,12469
10486,12262
10853,13859
11143,15649
11310,17477
11298,19191
11233,20628
11837,24089
12535,28024
13267,31339
14014,33566
14781,34400
15667,33747
16774,33359
18196,33150
20061,31942
22420,30359
25130,29818
27947,29286
30482,30466
32253,31443
32880,30865
32230,28975
30522,26309
28233,25425
25961,25861
24187,26124
23274,26030
23440,25570
24751,24826
27153,25255
30445,25732
34211,26545
37866,30743
40785,36377
42526,41274
42954,44675
42280,46006
40941,45003
39421,44999
38144,42516
37394,37798
37291,31862
37772,25804
38673,20475
39699,16340
40526,13491
40872,11811
40900,11091
40872,11117
39821,11636
38039,12357
36825,12931
36264,13181
35966,12662
35809,11518
35569,10112
35089,8652
34330,8841
33410,9304
32562,9598
31977,9631
31849,9343
32210,9305
32979,10299
33883,11334
34564,12076
34730,12469
34199,12592
33047,12650
31507,13645
29908,14959
28545,15577
27621,16085
27200,17183
27232,18282
27523,18559
27821,17750
27846,15969
27378,15432
26314,17425
24710,19232
22741,20484
20655,20788
18647,19936
16801,18672
15157,17607
13656,15829
12237,14568
10849,14180
9507,14286
8227,15003
7067,16013
6365,37957
6815,39430
7433,38838
8194,36496
9026,33015
9833,29075
10509,25237
10987,21832
11232,19501
11269,17376
11177,18622
11057,20083
10985,21045
11040,21336
11240,21431
11621,21420
12138,20728
12723,19460
13299,17853
13802,16192
14197,14797
14515,16305
14814,17754
15193,18947
15704,20085
16347,23104
17128,26053
17969,28631
18804,30541
19615,31584
20446,31665
21402,32126
22636,32329
24280,31820
26399,30513
29021,29970
32008,29594
34995,31542
37529,33666
39089,35140
39270,34557
38042,32026
35677,30263
32778,27327
30035,25863
27988,25559
26616,24879
26610,23875
27823,22712
30165,22493
33414,23097
37124,25312
40701,29698
43513,34232
45094,38336
45290,41370
44314,42888
42590,46416
40654,47330
39261,45440
38424,41136
37974,35303
38383,29025
40483,23271
42974,18627
45518,15291
47609,13187
48897,12114
49046,11831
48100,12085
46345,12581
44158,13014
41917,13126
39985,12669
38632,11743
37828,10499
37248,9187
36689,8060
36016,8059
35141,8399
34177,9091
33319,10056
32797,11146
32867,12138
33747,12777
35023,12898
36421,12523
37560,11848
38107,11472
37861,11336
36827,11613
35225,12369
33394,13524
31682,14855
30682,15927
31008,16276
31308,15611
31331,14404
30901,12983
29996,14427
28678,16390
27148,17914
25605,18637
24173,18865
22888,19242
21681,18571
20501,17061
19218,15989
17788,14693
16217,14230
14571,14948
12980,15919
11527,16840
10231,17744
9079,19870
8074,22580
7161,24930
6281,26795
6479,15951
7292,18504
7998,21915
8540,26006
8926,30379
9242,34471
9618,37641
10159,39442
10906,39216
11848,37239
12890,33941
13890,30107
14693,26206
15193,22571
15372,19348
15289,20174
15051,21665
14814,23197
14673,24710
14691,25740
14953,26079
15409,25654
16052,24514
16766,22851
17478,20934
18140,19044
18726,17416
19315,16871
19917,17952
20619,19748
21448,21847
22378,23791
23337,25395
24249,26509
25043,27069
25723,27810
26376,28268
27125,28331
28170,28069
29686,27424
31724,26693
34239,27182
37056,30322
39786,33854
41900,36546
42892,37713
42417,37019
40506,37261
38915,36325
37650,33170
35532,28637
33023,23844
30635,21373
29153,20646
29048,20261
29855,20213
32603,21190
35888,23658
39068,26679
41572,29987
42937,33182
44197,35775
45595,40670
45807,44209
45068,45642
43816,44591
42510,41172
41577,36023
42730,30143
44557,24510
46873,19798
49289,16317
51372,14048
52662,12827
52900,12419
52064,12584
50377,13383
48255,13994
46077,14011
44151,13398
42634,12639
41476,11543
40556,10344
39686,9278
38787,9309
37814,9833
36908,10693
36259,11774
36067,12865
36477,13658
37517,13870
39080,13391
40930,12388
42696,11174
44015,10106
44603,9444
44388,9327
43503,9916
42227,11044
40893,12428
39755,13773
38904,14787
38305,14908
37793,14053
37168,12492
36220,10723
34834,12402
33030,13989
31201,15087
29042,16892
26781,18004
25799,18162
25406,17552
24791,17214
23834,16344
22593,15432
21160,15188
19660,15661
18231,16139
16949,17918
15792,20623
14693,23298
13576,25789
12389,28047
11073,30072
9656,34877
8189,40579
6791,45846
6664,20903
7215,19423
7775,19091
8361,19493
9048,20633
10050,22477
10928,24939
11582,27835
12029,31038
12385,35657
12800,39232
13416,41166
14285,41158
15390,39279
16616,35921
17777,31660
18667,27092
19191,22707
19332,21905
19177,23517
18881,25256
18614,26845
18486,28003
18592,28523
18945,28307
19538,27381
20305,25877
21166,24005
22024,22303
22833,20698
23645,19362
24469,18422
25394,18790
26406,20359
27535,21716
28704,22680
29760,23135
30584,23879
31111,24220
31360,24099
31445,23761
31593,23131
32026,22423
32934,22737
34402,25050
36366,27948
38582,31031
40640,33786
42027,35642
42241,36180
42422,37877
42912,38938
42236,37962
40461,35098
37900,31038
35036,26653
32394,22700
30751,19642
30568,18511
31319,18627
32971,19333
35354,20624
38154,23516
40958,27232
43312,31184
45005,35690
46416,39836
46610,43407
45777,44801
44325,43663
42969,40173
42980,35052
43744,29310
45196,23923
47600,19537
50697,16402
53364,14500
55136,13655
55687,14066
54979,14915
53264,15566
50944,15615
48458,15344
46202,14588
44344,13403
42923,12561
41823,11559
40905,10633
40011,9990
39089,10411
38194,11334
37464,12410
37096,13361
37246,13842
38014,13586
39369,13175
41157,12538
43104,11259
44842,9664
46062,8140
46587,7677
46384,8288
45604,9550
44957,11315
44339,13173
43842,14523
43409,14792
42944,13825
42313,12030
41372,10955
40075,10015
38514,9990
36817,11514
35176,13579
33704,15303
32435,16353
31332,16780
30207,17514
28928,17626
27361,17488
25491,17518
24021,18059
23259,19283
22653,21141
22165,23383
21701,25535
21110,27841
20247,30180
19026,31097
17407,34178
15479,41321
13405,48151
11313,53544
9309,58521
7494,61664
6716,33271
7177,33603
7486,32838
8154,31291
9057,29351
9871,27400
10594,25783
11244,24698
11853,24268
12472,24518
13139,25342
13859,26615
14597,28189
15258,29927
15752,33436
16071,37010
16277,39829
16715,41436
17710,41486
18973,39846
20372,36666
21708,32370
22777,27548
23435,23048
23652,24295
23528,25880
23273,27619
23041,29252
22978,30509
23159,31163
23563,31088
24194,30288
24938,28889
25739,27105
26537,25183
27292,23350
28072,22093
28894,21192
29859,20562
30958,20253
32130,20269
33254,20573
34153,21085
34623,21676
34589,22202
34082,22599
33302,22715
32523,22386
32019,22293
32786,22762
34337,24873
36128,27280
37983,29605
39727,31429
41136,32338
41979,34587
42815,36325
42649,37402
41361,37027
39054,34658
36093,30833
33371,26646
32082,23419
31524,20773
31279,18879
31391,17779
32044,19468
33709,22258
35727,25750
37905,29526
40280,33032
41911,35900
42588,39397
42362,41427
41508,43049
40467,42852
40476,40353
41115,36017
42524,30756
44679,25550
47380,21127
50235,17860
52767,15796
54504,15541
55129,15930
54576,16551
53047,17002
50964,16920
48701,16194
46649,15588
45000,14384
43747,12817
42787,12146
41925,11497
41044,11057
40073,10975
39094,11313
38256,12049
37752,13017
37768,13934
38397,14397
39639,14050
41394,12802
43451,10923
45513,8891
47255,7136
49072,6899
49079,8485
48644,10688
47953,13072
47092,14854
46107,15274
44978,14115
43677,12271
42162,11611
40470,10233
39044,8703
38083,8096
37335,10059
36891,12032
36717,13714
36706,15138
36663,16928
36334,18171
35583,18992
34338,19757
32698,20729
30840,22101
28919,23776
27068,25533
25654,28324
26143,30789
26329,32177
26057,31934
25207,31312
23731,38464
21749,46149
19350,52500
16687,56379
13930,58388
11224,58677
8721,55958
6590,50812
7142,22809
8330,26351
9351,29381
10110,31645
10609,32973
11030,33309
12293,32744
13409,31554
14356,30122
15133,28829
15758,27989
16310,27782
16875,28157
17511,28979
18228,30014
18979,31070
19653,33606
20136,36238
20402,38567
20528,40366
20640,41324
21228,41179
22611,39676
24164,36768
25681,32695
26934,27960
27745,24566
28075,26075
28044,27794
27820,29491
27565,30902
27434,31802
27469,32042
27685,31593
27996,30521
28330,30217
28631,29534
28892,28456
29146,27168
29429,25848
