ch1,ch2
5465,6805
4448,6622
4928,6571
3918,6465
4224,6341
3184,6557
3420,6318
2414,7150
2565,6592
2508,6610
1991,7108
2280,7418
1922,8390
4219,6951
2733,7243
1903,6307
1955,8037
6545,7093
4598,8780
2830,9175
6697,8322
4609,10252
2792,10797
7972,6493
6094,9082
4106,11067
2495,11767
3832,6488
3184,6346
6742,6831
4977,9264
3263,11157
2009,11934
1893,9080
3553,6415
5423,6758
3679,8884
2328,10599
2034,7834
2305,8291
2447,7515
4110,6535
2583,8329
2065,6306
2554,7300
2944,7207
3596,6367
5113,6717
6559,6467
2992,8258
4645,8382
6497,7805
8111,6689
2296,8848
3670,8803
5476,8106
7270,6894
2712,7791
4017,7208
3892,6379
4829,6326
4046,6654
5081,6899
3949,6800
5079,6969
3617,6622
4736,6474
4367,6323
3701,7241
2769,7352
3306,7183
2545,10061
4960,6860
4457,7853
3534,7946
2479,7215
4188,8231
3315,10746
2316,12389
5230,7261
4955,8186
4172,8230
3121,7481
2117,6243
4801,8525
3854,10407
2734,11488
4762,6367
5185,7580
5140,8429
4572,8418
3643,7644
2645,6452
5662,6537
5081,8447
4056,9648
2877,10113
1913,9976
4290,6768
4822,7767
4975,8400
4646,8246
3922,7431
3036,6313
2365,6586
2680,7109
2720,7179
2428,6922
5739,7369
4972,8422
3860,8946
2676,8856
3623,6884
4202,7631
4505,7917
4406,7552
3921,6789
2124,6702
2645,8015
2970,8656
3039,8137
2895,6613
3863,6597
4245,7292
4239,7601
3796,7630
3035,7324
2182,6519
5858,6305
5935,7745
5418,8592
4453,8775
3292,8511
2188,8064
2916,6637
3510,7046
3914,6940
3994,6520
3003,6268
3735,7490
4245,8154
4467,7841
4395,6709
5524,6500
5868,7234
5780,7627
5217,7942
4277,8076
3264,7758
2286,6907
5761,8074
5561,9408
4692,9623
3620,9067
2511,8333
2901,6234
4808,6416
5505,6889
5900,6670
7083,6257
7247,6961
7054,7370
6481,7969
5562,8652
4444,8961
3478,8573
2629,7482
4670,7481
5113,9581
4716,10545
3712,10192
2672,9149
8402,6500
8123,6910
7519,7872
6577,9177
5619,10133
4763,10270
3745,9457
2700,7888
3868,8501
4120,10444
3628,10947
2694,10123
2827,6427
2796,6487
8993,6323
8337,7647
7421,9301
6555,10594
5722,11065
4630,10577
3508,9229
2316,7182
2643,7055
3178,9120
3063,10597
2557,10571
1933,6700
2503,6281
2308,6469
2038,6347
2906,6355
8975,7122
7989,8862
7089,10242
6153,10922
5122,10699
3880,9505
2543,7535
2891,7643
2731,9262
2257,10039
2810,6306
3054,6303
9242,6252
8134,7964
7080,9349
5965,10049
4950,9844
3674,8716
2366,6875
2680,7825
2409,8844
3372,6320
7550,6635
6362,7910
5198,8502
4149,8237
2970,7234
1928,7540
3842,6904
3976,7221
3674,6409
3913,6474
3166,6696
3547,7714
3728,7611
3489,6460
2351,6883
2572,7892
2680,7639
2507,6253
3799,6394
2726,6465
2194,7363
2084,7314
2181,6929
1893,8195
2645,6825
1897,6975
6509,6348
6329,6520
4429,6290
5837,6705
6106,7286
5801,7327
4999,6817
4855,7026
5208,7685
5267,7860
4830,7644
3980,7029
3958,6897
4570,7934
4680,8331
4299,8206
3732,7633
2917,6779
3964,7581
4258,8425
4139,8545
3578,8104
2777,7245
2145,7166
2352,6832
2271,6229
5557,6501
4279,6440
4005,6684
3418,6508
3148,6377
3831,7835
3939,8448
3556,8286
2881,7679
2095,6694
2049,6992
2323,7441
2620,7484
2822,7217
2719,6675
4867,6491
5874,6452
6142,7209
5736,7342
4900,6892
2951,6718
2764,6659
3275,6395
2912,6445
3434,7701
3389,8063
2876,7699
2187,6969
2529,6702
2814,7160
3087,7268
3228,7115
3082,6666
4166,6269
7212,6294
7519,7113
7039,7148
6056,6529
2568,7187
3161,7898
4087,7174
3307,7331
3640,8294
4032,7695
2459,6345
2787,7349
2620,7394
2116,6891
3229,6413
3476,6529
3548,6416
8042,6309
7592,6307
2583,6251
2462,6686
2225,6988
2431,6848
2960,8123
3585,9072
4604,8399
6125,6609
4027,6527
4196,8222
4521,8712
4818,7724
2071,6866
2851,6666
2704,7501
2528,8141
2248,8499
1891,8728
1902,6528
2848,6488
3279,8596
3946,9798
4961,9584
6656,8049
4744,7240
4997,8215
5386,8123
5646,6839
2995,6321
2738,7406
2537,8392
2373,9086
2140,9584
2866,6348
3344,8364
3920,9764
4952,10009
6731,9199
8264,7372
5338,7462
5727,7631
6219,6983
2785,6676
2476,7799
2224,8770
2055,9459
3145,7351
3781,8865
4958,9468
6315,9315
7612,8150
5507,6478
5896,7281
6440,6878
2537,6706
2196,7725
1919,8605
3942,7252
4721,8247
5615,8549
6534,7899
7305,6472
5942,6902
6388,7156
2287,6324
1961,7265
4101,6512
4739,7095
5438,6944
6221,6977
6565,6791
1953,6637
6030,6584
2234,6352
2172,6775
2045,6729
5276,6671
4769,7516
4011,7867
3079,7904
2130,7811
5494,6370
5079,8223
4499,9367
3763,9713
2926,9534
2091,9204
5202,6599
4703,8798
4131,10116
3493,10372
2811,9954
2134,9417
4187,8255
3671,9567
3191,9715
2710,9190
2233,8528
3585,6817
3144,7945
2777,8047
2485,7547
2250,6998
2039,6518
2155,6465
2128,6426
2646,6518
2449,6413
2133,6830
3373,6985
2781,8797
2140,10186
2823,6312
2593,7419
2267,8020
4463,7444
4065,9277
3445,10947
2790,11833
2229,11467
3633,6326
2961,6365
3633,7213
3595,8360
3399,8983
2932,9059
2386,8622
4761,7687
4917,9596
4614,11483
4062,12789
3463,12991
2960,11754
2627,9310
2498,6582
3522,6686
4021,8052
3898,8903
3215,9088
2306,8636
3394,6370
3685,7775
3941,9147
4137,9983
4086,10067
3668,9670
2992,8883
2219,7974
3955,7288
4684,9407
4937,11534
4779,13219
4393,14019
3956,13465
3596,11411
3412,8390
1967,6368
2121,6440
2939,8370
3469,9965
3540,10913
3137,11114
2354,10656
2651,6431
3007,7938
3442,9403
3925,10452
4346,10931
4525,10717
4287,9946
3610,9046
2807,7949
