ch1,ch2
4317,11183
5300,11139
5686,11214
5306,11252
4311,11069
4458,10576
6353,9956
7940,9674
8545,9602
7869,9589
6378,9456
4581,9116
5552,8530
8092,7774
10358,7401
11299,7284
10492,7253
8371,7115
5887,6719
4540,9760
6703,10120
8986,9800
10616,8800
10939,7392
3982,13522
6549,15053
9873,15504
13452,14695
15969,12870
16459,10530
14652,8227
4944,17341
8288,19629
12608,20250
17199,18993
20539,16372
21067,13185
18465,10147
14029,7692
5144,18264
8693,21100
13234,21961
17993,20639
21318,17732
21699,14221
18975,10960
14366,8364
4419,15901
7311,18782
11058,19846
14928,18823
17413,16307
17636,13220
15495,10350
11747,8271
8983,6907
4126,11840
6432,14300
9071,15363
11462,14790
12943,13001
13157,10753
12061,8713
10109,7384
5045,9831
6954,10724
8605,10471
9559,9371
9610,7975
8767,6758
4656,7112
5651,7039
8231,7379
5326,8220
19652,7017
15803,8052
11180,8804
7141,9280
4256,9517
23022,7702
18594,8423
13211,8786
8480,8833
5465,8665
22934,7398
18590,7815
13256,7911
10067,7744
7129,7382
4821,6925
4366,8550
5089,9295
5201,9009
4662,7855
19774,6673
17349,6996
14170,7067
10673,6904
8402,7446
8607,7570
7624,6853
12169,6736
9088,6682
8731,6960
6362,7000
4488,6691
7103,7061
5540,7556
4003,7607
4887,6936
4159,7836
4000,7992
3958,7997
4777,7267
4328,6915
11882,6960
12097,7870
11774,8195
11014,8116
9904,7688
8525,7115
13116,8123
13043,9514
12372,10323
11226,10518
9749,10232
8061,9721
6304,9205
4626,8858
13423,7182
14065,9132
13916,10731
13029,11751
11598,12142
9804,12028
7826,11639
5870,11175
4125,10822
13584,7817
14512,9665
14530,11155
13644,12137
12030,12576
9933,12553
7696,12237
5586,11813
3800,11433
12448,8044
13719,9604
14040,10776
13381,11513
11878,11829
9796,11755
7467,11442
5282,11024
10364,7652
11794,8855
12383,9697
12025,10170
10805,10302
8976,10171
6870,9834
4851,9348
9309,7524
10005,8180
9902,8546
9034,8637
7591,8488
5867,8149
4188,7620
7625,7085
7084,7408
6049,7527
4749,7438
5404,7298
4738,7653
3820,7703
4185,7295
3807,7945
3941,10024
3936,9820
4442,7239
6407,7061
8319,6862
4063,11146
4063,11079
4153,7598
5231,7497
5885,7294
5869,6971
3843,7110
3878,6855
4813,8367
3902,11045
6217,6896
5914,6783
4725,7252
4309,10568
6694,7363
7431,8050
7183,8181
6030,7783
4486,6971
6678,7321
7540,8603
7470,9457
6475,9801
4996,9614
4108,6820
6669,8281
6895,9713
6283,10782
5181,11558
3930,11777
6561,6911
5403,6936
5967,8659
5872,10166
5278,11403
4303,12511
5506,7492
5395,8843
4799,10204
4062,11241
4261,7296
4585,7256
4029,7953
4579,7713
4696,9566
4071,11153
4087,10314
4592,10089
4873,9113
4873,7537
3816,8859
3909,11279
4459,7301
5695,7760
6773,7796
7578,7288
4182,7280
4785,8713
4861,10098
4461,11172
3784,12488
4397,6952
5654,8132
6461,9475
6572,10841
6083,12020
5271,13111
4377,14307
