ch1,ch2
5160,6185
5307,6145
5302,6104
5389,6335
5550,7119
5800,7771
6134,8109
6540,8103
6995,7796
7476,7295
7954,6735
8411,6240
5384,8754
5654,9545
5899,10230
6154,10836
6450,10973
6819,11107
7274,10689
7796,9706
8345,8724
8865,7562
9307,6417
9670,6243
9762,7012
9997,7681
10387,8135
10917,8310
11547,8229
12236,7934
12931,7490
13579,7013
14144,6601
14607,6314
14944,6165
15130,6134
15135,6173
14930,6220
14494,6202
7177,6573
7936,7012
8603,7479
9164,8286
9609,9039
9975,9687
10304,10320
10657,10804
11093,11151
11654,10908
12349,10512
13150,9755
13990,8650
14776,7479
15413,6474
15641,6129
15539,6660
15600,7176
15875,7603
16370,7880
17056,7968
17869,7877
18715,7645
19508,7327
20179,6983
20673,6683
20975,6461
21091,6325
21019,6264
20756,6248
20293,6249
19619,6178
11234,6692
12381,7392
13372,7785
14167,7955
14755,8560
15171,9023
15475,9519
15768,9726
16140,10025
16664,10161
17391,10041
18317,9420
19378,8601
20471,7777
21459,6907
22230,6179
21940,6205
21688,6424
21652,6607
21887,6836
22387,7191
23098,7408
24244,7476
25352,7391
26176,7190
26611,6905
26633,6660
26284,6442
25767,6215
14337,6243
16059,6836
17596,7317
18863,7829
19800,8184
20400,8144
20699,8501
20788,8748
20818,8829
20905,8963
21157,8702
21927,8511
23236,8168
24674,7711
26092,7048
27306,6380
25953,6471
26137,6700
27038,6899
28148,7185
29274,7297
30202,7234
30747,7035
30809,6886
30400,6627
29609,6282
7189,6327
6999,6548
6970,6210
7051,6481
7201,6361
7369,6380
7521,6618
7611,6560
7615,6256
5200,6214
18594,6198
20700,6739
22575,7230
24058,7689
25058,7821
25535,8156
25550,8134
25218,7976
24746,8208
24358,8117
24724,7751
25465,7568
26570,7147
27969,6608
28123,6395
28476,6791
29446,7006
30730,7011
31809,7001
32435,7069
32451,6945
31853,6643
30761,6217
24385,6261
24572,6297
24809,6584
25080,6513
25373,6429
26015,6177
12162,6628
11456,6760
11022,7551
10842,7803
10875,7325
11071,7219
11367,6992
11788,7072
12174,7300
12482,7338
12664,7083
12656,6669
12418,6263
9864,6366
9066,6715
8260,6892
7493,6895
6801,6675
6194,6310
24141,6399
26475,6765
28270,7196
29353,7653
29694,7743
29399,7809
28703,7818
27863,7567
27146,7378
26765,7315
27399,7038
28842,6655
30640,6263
28632,6357
29229,6536
30117,6803
31064,6875
31705,6721
31933,6379
31579,6174
27136,6279
27355,6442
27359,6547
27183,6603
26997,6349
17646,6207
16636,7366
15759,8225
15096,8437
14703,8955
14637,9341
14915,8797
15402,8277
16022,8011
16699,7377
17353,7466
17907,7208
18288,7032
18430,6734
18279,6415
17794,6197
16971,6148
15877,6341
14605,6786
13514,7156
12468,7290
11450,7113
10511,6886
9694,6576
9010,6248
7601,6250
7262,6795
6932,7531
6574,8358
6171,9097
5704,9523
5170,9739
29412,6173
31416,6474
32622,6903
32900,7367
32330,7503
31145,7360
29645,7332
28693,7136
28241,6833
28510,6530
30147,6297
32182,6151
28213,6219
28816,6431
29509,6431
30050,6226
28538,6134
21467,6473
20493,7500
19508,8612
18664,9727
18077,10097
17804,10104
17868,10695
18238,10195
18861,9334
19662,9115
20598,8014
