score_column,start_alignment_position,end_alignment_position,start_reference_position,end_reference_position,length_alignment,mean_score,mean_occupancy
identity_max,56,67,56,67,12,0.9798387096774194,0.9946524064171122
identity_max,205,210,205,210,6,0.9802431463721787,0.9919786096256685
identity_max,233,239,233,239,7,0.9564553093964859,1.0
reference_identity_fraction,56,67,56,67,12,0.9798387096774194,0.9946524064171122
reference_identity_fraction,205,210,205,210,6,0.9802431463721787,0.9919786096256685
reference_identity_fraction,233,239,233,239,7,0.9564553093964859,1.0
hydrophobicity_conservation,16,23,16,23,8,0.9463035967270034,0.9558823529411765
hydrophobicity_conservation,31,37,31,37,7,0.9571326748803585,0.9809014514896868
hydrophobicity_conservation,52,70,52,70,19,0.9937747594793436,0.9935265972417676
hydrophobicity_conservation,77,83,77,83,7,0.9877112135176651,0.9938884644766997
hydrophobicity_conservation,85,96,85,96,12,0.9869805025923539,0.9906417112299465
hydrophobicity_conservation,98,112,98,112,15,0.9902780199554394,0.992513368983957
hydrophobicity_conservation,114,119,114,119,6,0.9695340501792117,0.9946524064171122
hydrophobicity_conservation,129,140,129,140,12,0.9941756272401433,0.9946524064171122
hydrophobicity_conservation,142,156,142,156,15,0.9748445219412961,0.9918003565062387
hydrophobicity_conservation,158,171,158,171,14,0.9950076804915514,0.9946524064171121
hydrophobicity_conservation,179,186,179,186,8,0.9845357454228423,0.9926470588235294
hydrophobicity_conservation,188,195,188,195,8,0.9824396977622785,0.9906417112299465
hydrophobicity_conservation,205,215,205,215,11,0.9941347843366127,0.9946524064171123
hydrophobicity_conservation,232,244,232,244,13,0.9905388728918141,1.0
hydrophobicity_conservation,266,272,266,272,7,0.9869431643625192,0.9946524064171121
hydrophobicity_conservation,274,286,274,286,13,0.9768403639371381,0.9946524064171121
hydrophobicity_conservation,288,294,288,294,7,0.965437788018433,0.9938884644766998
hydrophobicity_conservation,314,321,314,321,8,0.9603850508262273,0.9959893048128342
charge_conservation,5,20,5,20,16,0.9931095593041616,0.910427807486631
charge_conservation,28,37,28,37,10,0.9748688043821204,0.9780748663101605
charge_conservation,52,71,52,71,20,0.9956989247311829,0.9935828877005349
charge_conservation,77,83,77,83,7,0.9976917009175074,0.9938884644766997
charge_conservation,104,113,104,113,10,0.9887096774193548,0.9946524064171122
charge_conservation,132,140,132,140,9,0.998805256869773,0.9946524064171123
charge_conservation,142,150,142,150,9,0.9844425070231522,0.9916815210932859
charge_conservation,158,171,158,171,14,0.9923195084485406,0.9946524064171121
charge_conservation,173,178,173,178,6,0.9792792792792793,0.9893048128342246
charge_conservation,185,210,185,210,26,0.9983390338229048,0.9915672562731385
charge_conservation,212,222,212,222,11,0.9868740884783666,1.0
charge_conservation,227,239,227,239,13,0.9913615795968738,1.0
charge_conservation,272,279,272,279,8,0.9993279569892473,0.9946524064171123
charge_conservation,290,309,290,309,20,0.9884408602150538,0.9941176470588238
charge_conservation,319,324,319,324,6,0.9589117057087623,0.9795008912655971
polarity_conservation,18,23,18,23,6,0.958453422168621,0.9607843137254902
polarity_conservation,52,67,52,67,16,0.9919354838709677,0.9933155080213903
polarity_conservation,77,83,77,83,7,0.9877112135176651,0.9938884644766997
polarity_conservation,85,96,85,96,12,0.9851568258300376,0.9906417112299465
polarity_conservation,103,112,103,112,10,0.98546934030805,0.9941176470588233
polarity_conservation,125,140,125,140,16,0.9946236559139785,0.9946524064171123
polarity_conservation,148,154,148,154,7,0.9760617760617762,0.9900687547746371
polarity_conservation,164,174,164,174,11,0.9921640115188503,0.9931939718035973
polarity_conservation,188,195,188,195,8,0.9851424004649811,0.9906417112299465
polarity_conservation,205,215,205,215,11,0.9956063156166657,0.9946524064171123
polarity_conservation,232,244,232,244,13,0.9864253393665158,1.0
polarity_conservation,266,272,266,272,7,0.9831029185867894,0.9946524064171121
polarity_conservation,281,286,281,286,6,0.982078853046595,0.9946524064171122
size_conservation,52,71,52,71,20,0.9881691368788144,0.9935828877005349
size_conservation,77,83,77,83,7,0.9854029144351725,0.9938884644766997
size_conservation,104,112,104,112,9,0.9802867383512547,0.9946524064171123
size_conservation,132,140,132,140,9,0.9982078853046595,0.9946524064171123
size_conservation,160,171,160,171,12,0.9843189964157705,0.9946524064171122
size_conservation,198,210,198,210,13,0.9896295799521605,0.9917729329494034
size_conservation,212,218,212,218,7,0.9686783804430863,1.0
size_conservation,234,239,234,239,6,0.9901960784313726,1.0
size_conservation,278,283,278,283,6,0.9516129032258065,0.9946524064171122
aromaticity_conservation,47,84,47,84,38,0.9951872925557137,0.9932451449479313
aromaticity_conservation,86,92,86,92,7,0.9861128409515507,0.9900687547746371
aromaticity_conservation,94,127,94,127,34,0.9942903054857515,0.9930795847750863
aromaticity_conservation,132,146,132,146,15,0.9935348251477284,0.9942959001782529
aromaticity_conservation,148,171,148,171,24,0.9935011624527753,0.9933155080213903
aromaticity_conservation,173,242,173,242,70,0.9883447791417432,0.9948815889992361
aromaticity_conservation,247,270,247,270,24,0.9866772174919963,0.9895276292335117
aromaticity_conservation,272,288,272,288,17,0.9968374446552815,0.9946524064171124
aromaticity_conservation,296,303,296,303,8,0.9885716361522814,0.9939839572192513
aromaticity_conservation,308,319,308,319,12,0.9827478143454732,0.9893048128342246
aromaticity_conservation,321,329,321,329,9,0.9815927251981703,0.952465834818776
