species	protein_record_id	sequence_header	symbol	ensembl_gene_id	ensembl_protein_id	translation_id	orthology_type	taxonomy_level	clade	phylum	broad_clade	is_query	is_reference	length_aa	retrieval_status	header_label_source	metadata_object_id	metadata_organism_name	metadata_pub_gene_id	metadata_description	metadata_og_name	metadata_raw_header	scientific_name	common_name	species_display_label	preferred_public_gene_label	preferred_protein_name	preferred_public_label	nomenclature_leaf_label	description	biotype	canonical_translation	reviewed_status	protein_existence	uniprot_accession	uniprot_entry_id	gene_synonyms	protein_alternative_names	subcellular_locations	keyword_list	ec_numbers	alphafold_accession	alphafold_entry_id	alphafold_model_url	alphafold_source_label	metadata_error
homo_sapiens	homo_sapiens__ENSP00000216500	homo_sapiens|ProteinRecordID=homo_sapiens__ENSP00000216500|Gene=DHRS7|EnsemblGene=ENSG00000100612|Protein=ENSP00000216500	DHRS7	ENSG00000100612	ENSP00000216500	ENSP00000216500	query	homo_sapiens	tetrapods	Chordata	tetrapods	True	True	339	ok	ensembl							Homo sapiens	Human	Human	DHRS7	Dehydrogenase/reductase SDR family member 7	DHRS7, Human	DHRS7, Human	Dehydrogenase/reductase SDR family member 7		ENSP00000216500	reviewed	1: Evidence at protein level	Q9Y394	DHRS7_HUMAN	DHRS7A; RETSDR4; SDR34C1	Retinal short-chain dehydrogenase/reductase 4; Short chain dehydrogenase/reductase family 34C member 1	Endoplasmic reticulum membrane			Q9Y394	AF-Q9Y394-F1	https://alphafold.ebi.ac.uk/files/AF-Q9Y394-F1-model_v6.pdb	AlphaFold DB v6	
pan_paniscus	pan_paniscus__ENSPPAP00000006786	pan_paniscus|ProteinRecordID=pan_paniscus__ENSPPAP00000006786|Gene=ENSPPAG00000025681|EnsemblGene=ENSPPAG00000025681|Protein=ENSPPAP00000006786	ENSPPAG00000025681	ENSPPAG00000025681	ENSPPAP00000006786	ENSPPAP00000006786	ortholog_one2one	Homininae	tetrapods	Chordata	tetrapods	False	False	339	ok	ensembl							pan paniscus	Bonobo	Bonobo	ENSPPAG00000025681		ENSPPAG00000025681, Bonobo	ENSPPAG00000025681, Bonobo			ENSPPAP00000006786			A0A2R8ZPB8							A0A2R8ZPB8	AF-A0A2R8ZPB8-F1			
pongo_abelii	pongo_abelii__ENSPPYP00000006670	pongo_abelii|ProteinRecordID=pongo_abelii__ENSPPYP00000006670|Gene=ENSPPYG00000005870|EnsemblGene=ENSPPYG00000005870|Protein=ENSPPYP00000006670	ENSPPYG00000005870	ENSPPYG00000005870	ENSPPYP00000006670	ENSPPYP00000006670	ortholog_one2one	Hominidae	tetrapods	Chordata	tetrapods	False	False	339	ok	ensembl							pongo abelii	Sumatran orangutan	Sumatran orangutan	ENSPPYG00000005870		ENSPPYG00000005870, Sumatran orangutan	ENSPPYG00000005870, Sumatran orangutan			ENSPPYP00000006670			A0A6D2W8R7							A0A6D2W8R7	AF-A0A6D2W8R7-F1			
pan_troglodytes	pan_troglodytes__ENSPTRP00000010870	pan_troglodytes|ProteinRecordID=pan_troglodytes__ENSPTRP00000010870|Gene=ENSPTRG00000006406|EnsemblGene=ENSPTRG00000006406|Protein=ENSPTRP00000010870	ENSPTRG00000006406	ENSPTRG00000006406	ENSPTRP00000010870	ENSPTRP00000010870	ortholog_one2one	Homininae	tetrapods	Chordata	tetrapods	False	False	339	ok	ensembl							pan troglodytes	Chimpanzee	Chimpanzee	ENSPTRG00000006406		ENSPTRG00000006406, Chimpanzee	ENSPTRG00000006406, Chimpanzee			ENSPTRP00000010870			A0ACM8R591							A0ACM8R591	AF-A0ACM8R591-F1			
nomascus_leucogenys	nomascus_leucogenys__ENSNLEP00000016612	nomascus_leucogenys|ProteinRecordID=nomascus_leucogenys__ENSNLEP00000016612|Gene=ENSNLEG00000013686|EnsemblGene=ENSNLEG00000013686|Protein=ENSNLEP00000016612	ENSNLEG00000013686	ENSNLEG00000013686	ENSNLEP00000016612	ENSNLEP00000016612	ortholog_one2one	Hominoidea	tetrapods	Chordata	tetrapods	False	False	339	ok	ensembl							nomascus leucogenys	Gibbon	Gibbon	ENSNLEG00000013686		ENSNLEG00000013686, Gibbon	ENSNLEG00000013686, Gibbon			ENSNLEP00000016612			G1RTN8							G1RTN8	AF-G1RTN8-F1			
gorilla_gorilla	gorilla_gorilla__ENSGGOP00000024661	gorilla_gorilla|ProteinRecordID=gorilla_gorilla__ENSGGOP00000024661|Gene=ENSGGOG00000008367|EnsemblGene=ENSGGOG00000008367|Protein=ENSGGOP00000024661	ENSGGOG00000008367	ENSGGOG00000008367	ENSGGOP00000024661	ENSGGOP00000024661	ortholog_one2one	Homininae	tetrapods	Chordata	tetrapods	False	False	365	ok	ensembl							gorilla gorilla		Gorilla gorilla	ENSGGOG00000008367		ENSGGOG00000008367, Gorilla gorilla	ENSGGOG00000008367, Gorilla gorilla			ENSGGOP00000024661			G3S996							G3S996	AF-G3S996-F1			
sarcophilus_harrisii	sarcophilus_harrisii__ENSSHAP00000029257	sarcophilus_harrisii|ProteinRecordID=sarcophilus_harrisii__ENSSHAP00000029257|Gene=ENSSHAG00000013927|EnsemblGene=ENSSHAG00000013927|Protein=ENSSHAP00000029257	ENSSHAG00000013927	ENSSHAG00000013927	ENSSHAP00000029257	ENSSHAP00000029257	ortholog_one2one	Theria	tetrapods	Chordata	tetrapods	False	False	466	ok	ensembl							sarcophilus harrisii	Tasmanian devil	Tasmanian devil	ENSSHAG00000013927		ENSSHAG00000013927, Tasmanian devil	ENSSHAG00000013927, Tasmanian devil			ENSSHAP00000029257			A0A7N4NVW2							A0A7N4NVW2	AF-A0A7N4NVW2-F1			
notamacropus_eugenii	notamacropus_eugenii__ENSMEUP00000001561	notamacropus_eugenii|ProteinRecordID=notamacropus_eugenii__ENSMEUP00000001561|Gene=ENSMEUG00000001704|EnsemblGene=ENSMEUG00000001704|Protein=ENSMEUP00000001561	ENSMEUG00000001704	ENSMEUG00000001704	ENSMEUP00000001561	ENSMEUP00000001561	ortholog_one2one	Theria	tetrapods	Chordata	tetrapods	False	False	321	ok	ensembl							notamacropus eugenii	Wallaby	Wallaby	ENSMEUG00000001704		ENSMEUG00000001704, Wallaby	ENSMEUG00000001704, Wallaby			ENSMEUP00000001561														
choloepus_hoffmanni	choloepus_hoffmanni__ENSCHOP00000006340	choloepus_hoffmanni|ProteinRecordID=choloepus_hoffmanni__ENSCHOP00000006340|Gene=ENSCHOG00000007153|EnsemblGene=ENSCHOG00000007153|Protein=ENSCHOP00000006340	ENSCHOG00000007153	ENSCHOG00000007153	ENSCHOP00000006340	ENSCHOP00000006340	ortholog_one2one	Eutheria	tetrapods	Chordata	tetrapods	False	False	321	ok	ensembl							choloepus hoffmanni	Sloth	Sloth	ENSCHOG00000007153		ENSCHOG00000007153, Sloth	ENSCHOG00000007153, Sloth			ENSCHOP00000006340														
dasypus_novemcinctus	dasypus_novemcinctus__ENSDNOP00000027366	dasypus_novemcinctus|ProteinRecordID=dasypus_novemcinctus__ENSDNOP00000027366|Gene=ENSDNOG00000039298|EnsemblGene=ENSDNOG00000039298|Protein=ENSDNOP00000027366	ENSDNOG00000039298	ENSDNOG00000039298	ENSDNOP00000027366	ENSDNOP00000027366	ortholog_one2one	Eutheria	tetrapods	Chordata	tetrapods	False	False	339	ok	ensembl							dasypus novemcinctus	Armadillo	Armadillo	ENSDNOG00000039298		ENSDNOG00000039298, Armadillo	ENSDNOG00000039298, Armadillo			ENSDNOP00000027366														
